#IRC     bondlength1_1C-2C   EnergyTotal          Int                  Elstat               Pauli                OI                   Disp                 StrainTotal          frag1Strain          frag2Strain          irrepOI_DELTA  irrepOI_PHI  irrepOI_PI             irrepOI_SIGMA        orbitalenergy1_frag1-5SIGMA  orbitalenergy2_frag1-1PI:x  orbitalenergy3_frag1-2PI:x  overlap1_3SIGMA_3SIGMA  overlap2_4SIGMA_4SIGMA  overlap3_5SIGMA_5SIGMA  overlap4_1PI:x_1PI:x  overlap5_2PI:x_2PI:x  
---      Angstrom            kcal/mol             kcal/mol             kcal/mol             kcal/mol             kcal/mol             kcal/mol             kcal/mol             kcal/mol             kcal/mol             kcal/mol       kcal/mol     kcal/mol               kcal/mol             eV                           eV                          eV                          ---                     ---                     ---                     ---                   ---                   
1        +0.8000             +65.8386             +182.7633            +20.5319             +862.6165            -699.5801            -0.8051              -116.9247            -58.4623             -58.4623             +0.0000        +0.0000      -430.2285              -269.3516            +3.9247                      -5.1819                     +4.7492                     +0.4137                 +0.4470                 +0.3912                 +0.6272               +0.7400               
2        +0.8759             -142.1149            -25.0417             -88.2851             +691.5262            -627.4810            -0.8018              -117.0731            -58.5366             -58.5366             +0.0000        +0.0000      -359.7285              -267.7524            +3.9264                      -5.1809                     +4.7496                     +0.4645                 +0.4249                 +0.3895                 +0.5843               +0.7096               
3        +0.9517             -270.5040            -153.3133            -142.1860            +553.2919            -563.6217            -0.7977              -117.1907            -58.5954             -58.5954             +0.0000        +0.0000      -303.4124              -260.2093            +3.9278                      -5.1800                     +4.7499                     +0.5032                 +0.4042                 +0.3894                 +0.5429               +0.6808               
4        +1.0276             -345.0078            -227.7090            -162.5731            +441.5301            -505.8733            -0.7929              -117.2988            -58.6494             -58.6494             +0.0000        +0.0000      -256.8411              -249.0322            +3.9291                      -5.1793                     +4.7502                     +0.5306                 +0.3847                 +0.3901                 +0.5033               +0.6537               
5        +1.1034             -383.2829            -265.8775            -163.2717            +351.1002            -452.9186            -0.7874              -117.4054            -58.7027             -58.7027             +0.0000        +0.0000      -217.3681              -235.5505            +3.9304                      -5.1785                     +4.7505                     +0.5479                 +0.3665                 +0.3905                 +0.4657               +0.6286               
6        +1.1793             -397.3987            -279.8757            -153.1051            +277.9656            -403.9549            -0.7813              -117.5230            -58.7615             -58.7615             +0.0000        +0.0000      -183.2976              -220.6572            +3.9318                      -5.1776                     +4.7509                     +0.5562                 +0.3494                 +0.3897                 +0.4302               +0.6054               
7        +1.2552             -395.5986            -277.9674            -137.6228            +218.8851            -358.4551            -0.7745              -117.6311            -58.8156             -58.8156             +0.0000        +0.0000      -153.5168              -204.9383            +3.9331                      -5.1768                     +4.7512                     +0.5569                 +0.3337                 +0.3866                 +0.3967               +0.5840               
8        +1.3310             -383.5705            -265.7830            -120.1868            +171.3950            -316.2242            -0.7669              -117.7875            -58.8938             -58.8938             +0.0000        +0.0000      -127.3278              -188.8965            +3.9351                      -5.1755                     +4.7517                     +0.5510                 +0.3188                 +0.3809                 +0.3654               +0.5643               
9        +1.4069             -365.1747            -247.2576            -102.8170            +133.2921            -276.9742            -0.7586              -117.9170            -58.9585             -58.9585             +0.0000        +0.0000      -104.1659              -172.8083            +3.9368                      -5.1744                     +4.7522                     +0.5398                 +0.3054                 +0.3714                 +0.3361               +0.5462               
10       +1.4828             -343.1084            -225.0548            -86.5917             +102.9176            -240.6311            -0.7496              -118.0537            -59.0268             -59.0268             +0.0000        +0.0000      -83.5874               -157.0438            +3.9386                      -5.1733                     +4.7526                     +0.5243                 +0.2931                 +0.3578                 +0.3089               +0.5295               
11       +1.5586             -319.2241            -201.0046            -72.0349             +78.8697             -207.0995            -0.7398              -118.2195            -59.1098             -59.1098             +0.0000        +0.0000      -65.2974               -141.8022            +3.9409                      -5.1718                     +4.7532                     +0.5054                 +0.2817                 +0.3400                 +0.2836               +0.5139               
12       +1.6345             -294.7521            -176.3804            -59.3446             +59.9137             -176.2198            -0.7297              -118.3717            -59.1859             -59.1859             +0.0000        +0.0000      -49.0320               -127.1878            +3.9430                      -5.1704                     +4.7537                     +0.4840                 +0.2714                 +0.3176                 +0.2602               +0.4994               
13       +1.7103             -270.5391            -152.0156            -48.4993             +45.0797             -147.8758            -0.7201              -118.5235            -59.2617             -59.2617             +0.0000        +0.0000      -34.5564               -113.3194            +3.9452                      -5.1689                     +4.7543                     +0.4608                 +0.2620                 +0.2907                 +0.2385               +0.4856               
14       +1.7862             -247.1303            -128.4640            -39.3731             +33.5445             -121.9220            -0.7135              -118.6662            -59.3331             -59.3331             +0.0000        +0.0000      -21.6701               -100.2519            +3.9474                      -5.1674                     +4.7549                     +0.4365                 +0.2536                 +0.2596                 +0.2185               +0.4725               
15       +1.8621             -224.8819            -106.0728            -31.7830             +24.6442             -98.2156             -0.7184              -118.8091            -59.4045             -59.4045             +0.0000        +0.0000      -10.2086               -88.0070             +3.9496                      -5.1659                     +4.7555                     +0.4115                 +0.2459                 +0.2245                 +0.2001               +0.4599               
16       +1.9379             -204.0130            -85.0640             -25.5309             +17.8270             -76.6027             -0.7575              -118.9490            -59.4745             -59.4745             +0.0000        +0.0000      -0.0145                -76.5882             +3.9519                      -5.1643                     +4.7561                     +0.3864                 +0.2390                 +0.1860                 +0.1832               +0.4476               
17       +2.0138             -184.6294            -65.5460             -20.4214             +12.6468             -56.9311             -0.8403              -119.0834            -59.5417             -59.5417             +0.0000        +0.0000      +9.0507                -65.9818             +3.9542                      -5.1626                     +4.7567                     +0.3614                 +0.2327                 +0.1446                 +0.1676               +0.4355               
18       +2.0897             -166.6963            -47.4864             -16.2730             +8.7449              -39.0530             -0.9053              -119.2099            -59.6049             -59.6049             +0.0000        +0.0000      +17.1211               -56.1741             +3.9564                      -5.1609                     +4.7573                     +0.3369                 +0.2270                 +0.1008                 +0.1533               +0.4235               
19       +2.1655             -150.1600            -30.8393             -12.9243             +5.8327              -22.8243             -0.9234              -119.3207            -59.6604             -59.6604             +0.0000        +0.0000      +24.3335               -47.1578             +3.9585                      -5.1593                     +4.7579                     +0.3131                 +0.2217                 +0.0552                 +0.1401               +0.4116               
20       +2.2414             -120.6342            -1.2112              -10.2330             +3.6875              +6.2509              -0.9166              -119.4230            -59.7115             -59.7115             +0.0000        +0.0000      +266.5609              -260.3100            +3.9605                      -5.1578                     +4.7584                     +0.2901                 +0.2169                 +0.0086                 +0.1281               +0.3998               
21       +2.3172             -124.0847            -4.5543              -8.0775              +2.1340              +2.2890              -0.8999              -119.5305            -59.7652             -59.7652             +0.0000        +0.0000      +242.5203              -240.2312            +3.9627                      -5.1560                     +4.7591                     +0.2681                 +0.2123                 +0.0383                 +0.1170               +0.3878               
22       +2.3931             -131.3340            -11.9205             -6.1570              +1.6378              -6.5355              -0.8658              -119.4135            -59.7067             -59.7067             +0.0000        +0.0000      +303.5200              -310.0555            +3.9672                      -5.1130                     +4.7721                     +0.2371                 +0.1974                 +0.0269                 +0.1082               +0.3702               
23       +2.4690             -132.6229            -13.0552             -4.8438              +0.7050              -8.0717              -0.8446              -119.5677            -59.7839             -59.7839             +0.0000        +0.0000      +302.2649              -310.3367            +3.9719                      -5.1159                     +4.7713                     +0.2193                 +0.1956                 +0.0771                 +0.0988               +0.3589               
24       +2.5448             -133.5275            -13.8431             -3.7991              +0.0658              -9.2876              -0.8221              -119.6844            -59.8422             -59.8422             +0.0000        +0.0000      +302.0129              -311.3005            +3.9751                      -5.1185                     +4.7707                     +0.2022                 +0.1934                 +0.1259                 +0.0901               +0.3475               
25       +2.6207             -134.1320            -14.3632             -2.9700              -0.3552              -10.2395             -0.7986              -119.7688            -59.8844             -59.8844             +0.0000        +0.0000      +302.1804              -312.4198            +3.9770                      -5.1205                     +4.7701                     +0.1861                 +0.1909                 +0.1724                 +0.0822               +0.3359               
26       +2.6966             -134.5016            -14.6712             -2.3137              -0.6170              -10.9663             -0.7741              -119.8304            -59.9152             -59.9152             +0.0000        +0.0000      +303.2307              -314.1971            +3.9783                      -5.1222                     +4.7697                     +0.1709                 +0.1882                 +0.2163                 +0.0750               +0.3242               
27       +2.7724             -134.6897            -14.8134             -1.7956              -0.7651              -11.5039             -0.7488              -119.8763            -59.9382             -59.9382             +0.0000        +0.0000      +303.8755              -315.3794            +3.9792                      -5.1235                     +4.7693                     +0.1567                 +0.1853                 +0.2574                 +0.0685               +0.3124               
28       +2.8483             -134.7417            -14.8308             -1.3875              -0.8322              -11.8886             -0.7226              -119.9109            -59.9554             -59.9554             +0.0000        +0.0000      +304.4864              -316.3750            +3.9797                      -5.1247                     +4.7690                     +0.1434                 +0.1821                 +0.2955                 +0.0625               +0.3006               
29       +2.9241             -134.6935            -14.7563             -1.0666              -0.8432              -12.1511             -0.6954              -119.9372            -59.9686             -59.9686             +0.0000        +0.0000      +306.0282              -318.1793            +3.9801                      -5.1256                     +4.7687                     +0.1310                 +0.1788                 +0.3305                 +0.0570               +0.2888               
30       +3.0000             -134.5740            -14.6163             -0.8148              -0.8173              -12.3167             -0.6674              -119.9577            -59.9788             -59.9788             +0.0000        +0.0000      +306.5892              -318.9059            +3.9804                      -5.1264                     +4.7685                     +0.1196                 +0.1753                 +0.3622                 +0.0520               +0.2770               
